,,AuroraBorealis,CrimsonBlade,ShadowWalker,MysticDreamer,SilentAssassin,LunarEclipse,OceanSoul,EmeraldEyes,CelestialSiren,ThunderClap,MysticGoddess,IceQueen,GalacticWarrior,EnigmaGamer,GoldenGoddess,RubyKnight,SilverSamurai,ShadowPhoenix,CelestialWarrior,Dragonborn,PhantomReaper,FrostyNinja,StormyKnight,SkyDragoness,ObsidianKnight,MysticSamurai,ThunderousShadow,FlamePhoenix,EmeraldEnigma,InfernoKnight,ShadowShifter,CrystalGuardian
Thermite,0,151644239,79167571,376651391,411418157,294826467,194834089,208005993,54170971,154425450,279215091,134256733,221232616,186192839,295165223,69072847,142599111,79402792,193506650,56791260,100170377,133899724,18639424,2815770,92073900,69327725,65014974,91285941,15956527,19994674,10662916,1180664,8299572
Loud_Mouth,0,167237604,421040768,203626586,434490173,61922594,186455601,87697743,272051676,67376489,117146458,175100482,46500605,202512539,124808825,144123197,40684601,129978639,172606138,195605840,163050435,26210384,34414484,46588905,52148240,94615231,89505251,35090834,30071098,38778413,2415689,20641096,5477462
Black_Smith,0,299499074,341743376,41670607,228105000,219989376,116100302,179731744,214143335,158580951,216656501,81764426,197167459,241275426,242680580,45093253,208463234,155922727,11933648,15670046,139937079,70913232,163419584,149850108,70767468,72337894,107298025,80398627,20332339,36372896,6794307,30942457,8456521
Plate,0,197783359,408739019,334724123,106972545,97059040,356534297,185948507,150154296,23733825,45902096,242014503,238744213,4762258,245530491,81637809,126996661,215572094,223752845,72588496,42209967,18721782,108267859,19396215,35121970,40050335,95906257,29010216,6224960,45840134,39145528,16386772,12240182
Modernia,0,162403929,163620132,333883376,237145750,85572839,86448055,359418666,216152180,313755183,149387162,221980049,76793228,110112811,128561003,276507983,220455208,89091947,90909224,82225273,20209613,152412943,171621738,134545411,9525225,34857023,50914342,71948493,59579251,33344052,1469941,18978736,9025250
Thermite,1,21653691,121459301,208549950,310154957,82033333,189198502,119233127,134999346,110902138,39665816,171859339,57650838,88577328,28038829,18538355,125493275,67483180,170178726,32001000,75179680,94358175,142257443,7412192,18318782,103838575,91183867,44614380,3744180,27585237,31896344,18116563,9139251
Loud_Mouth,1,129664045,313499471,300572870,367262089,113481412,157817938,94025349,313367432,274761117,173524602,128957276,50463352,264888578,46765413,3407480,202611924,79242655,3231692,64586344,70682900,20964675,121708757,47002698,114590746,92206325,53996292,82146658,48015568,14415234,35379305,21486211,4819394
Black_Smith,1,111311740,194857441,157254961,139880183,251311031,25211750,120242151,337602813,135179620,65685364,281228589,226235048,199018558,59063766,120713420,22027864,1119980,42761196,60696865,124340311,115864844,134908176,42990599,123049321,91199091,13327552,83491239,18903385,20698705,41846803,20359922,2057963
Plate,1,314480964,254223708,185683084,374277236,87085303,100185708,157367612,204198627,320201278,93727736,302597256,275380820,263997351,126714799,183747824,122039750,64589830,124644487,151250676,90262635,122136334,146501513,23185832,43716932,65001087,28332165,2432285,55654542,40175420,6240910,2029821,12804708
Modernia,1,298780473,42242468,240138365,36703657,1105131,155671853,103103943,56380078,170750363,156702963,122646190,251303314,179762714,252089836,196594252,209478795,41120705,93050377,121764721,36189345,164917761,31062759,120950424,40148664,67239956,11765335,3626003,9514266,16267954,9571157,13678703,4693912
